Survived,Is_alone,Family_size_1,Family_size_2,Family_size_3,Family_size_4,Family_size_5,Family_size_6,Family_size_7,Family_size_8,Family_size_11,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Fare_scale,Age_1.0,Age_2.0,Age_3.0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.5024451714361923,0,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.7868452935884461,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.4888542575852486,0,1,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.4207302360686478,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.47811642890864375,0,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.395813560675251,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,-0.22408312108167944,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.4242561406845337,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-0.04295550208861426,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.312172377522981,1,0,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-0.11384570873513637,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.01870931177853076,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.4902797934380587,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-0.3262666585535892,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-0.06199888922968463,1,0,0
1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3866707201133388,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.2859972841804228,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.5029485386158568,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.12491978668775715,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.3866707201133388,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.4867562231804066,1,0,0
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.06635974158478332,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-0.22408312108167944,1,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.016444159470040135,0,0,1
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5029485386158568,0,1,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4.647001076532463,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.48977642625839407,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4894421904510968,0,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.09027201697708476,0,0,1
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2.301728820789,0,1,0
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.49237782784290063,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.43700743807979686,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.0060617003323709,0,1,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.39858208016340624,0,0,1
1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.5028639729296732,0,1,0
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.4863374216869257,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,-0.2859972841804228,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.42207354059350805,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.4576454924460446,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-0.22559322262067316,0,1,0
